decil,casos,fraudes,score_min,score_max,tasa_fraude,lift
1,320,218,0.4663773253001871,0.7851136076095264,0.68125,2.0469543744120413
2,320,226,0.4296664901149328,0.4660730540464438,0.70625,2.1220719661335843
3,320,175,0.403032389950828,0.42965216092021685,0.546875,1.6431973189087488
4,320,109,0.38046251630548705,0.40293653580006,0.340625,1.0234771872060207
5,319,106,0.36090960301151426,0.38046104060925434,0.3322884012539185,0.9984281783678417
6,319,79,0.3374609903217501,0.3605172667508509,0.2476489028213166,0.7441115668967876
7,319,57,0.31054366088592084,0.3374128224034284,0.1786833855799373,0.5368906242166696
8,319,34,0.2815848119267772,0.31041364512809316,0.10658307210031348,0.3202505477783643
9,319,44,0.2449605051946288,0.2815712860908535,0.13793103448275862,0.41444188536023613
10,319,15,0.10267942430270725,0.2449605051946288,0.047021943573667714,0.14128700637280778
