Ramo_Desc,Nombre_Canal_Comercial,SUCURSAL,REGIONAL,Cobertura,Tipo_apertura,label,score_fraude,decil
VIDA DE GRUPO,SUCURSALES,EL POBLADO,REGIONAL ANTIOQUIA,Invalidez,Reclamaciones Digital,1,0.7851136076095264,1
VIDA DE GRUPO,SUCURSALES,EL POBLADO,REGIONAL ANTIOQUIA,Invalidez,Reclamaciones Digital,1,0.7851136076095264,1
VIDA DE GRUPO,CORREDORES,CORREDORES ANTIOQUIA,REGIONAL ANTIOQUIA,Vida,Asesor,0,0.7479101135413144,1
VIDA DE GRUPO,SUCURSALES,SUCURSAL SAN FERNANDO 2,REGIONAL ANTIOQUIA,Invalidez,Asesor,0,0.697107327868274,1
VIDA DE GRUPO,BANCOLOMBIA DEUDORES,BANCOLOMBIA DEUDORES CONSUMO Y OTROS,OFICINA CENTRAL,Invalidez,Asesor,0,0.6825078945117776,1
VIDA INDIVIDUAL,SUCURSALES,SUCURSAL SAN FERNANDO 5,REGIONAL ANTIOQUIA,Invalidez,Reclamaciones Digital,1,0.6687063333949984,1
VIDA INDIVIDUAL,SUCURSALES,SUCURSAL SAN FERNANDO 5,REGIONAL ANTIOQUIA,Invalidez,Reclamaciones Digital,1,0.6687063333949984,1
VIDA INDIVIDUAL,PROMOTORAS,PROM VILLAVICENCIO CENTRO,REGIONAL CENTRO,Invalidez,Reclamaciones Digital,1,0.6605540221862193,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA BARRANQUILLA,REGIONAL NORTE,Invalidez,Asesor,0,0.6457538304417207,1
VIDA DE GRUPO,CORREDORES,BRILLA FASE 0,REGIONAL NORTE,Vida,Linea,1,0.6354872173225091,1
VIDA DE GRUPO,BANCOLOMBIA DEUDORES,BANCOLOMBIA DEUDORES CONSUMO Y OTROS,OFICINA CENTRAL,Invalidez,Linea,0,0.6323260327507892,1
BANCASEGUROS,BANCOLOMBIA VOLUNTARIOS,BANCOLOMBIA VOLUNTARIOS,OFICINA CENTRAL,Invalidez,Reclamaciones Digital,0,0.6152662390893834,1
EXEQUIAL,CORREDORES,BRILLA FASE 0,REGIONAL NORTE,Vida,Linea,0,0.6135450096238796,1
VIDA INDIVIDUAL,SUCURSALES,UNIDAD DE COMPETITIVIDAD 02 MEDELLÍN,REGIONAL ANTIOQUIA,Invalidez,Reclamaciones Digital,1,0.6132568714516498,1
BANCASEGUROS,BANCOLOMBIA VOLUNTARIOS,BANCOLOMBIA VOLUNTARIOS,OFICINA CENTRAL,Vida,Linea,1,0.6054729592055036,1
VIDA DE GRUPO,CORREDORES,BRILLA FASE 0,REGIONAL NORTE,Vida,Linea,0,0.6022998890500135,1
VIDA DE GRUPO,SUCURSALES,CUCUTA,REGIONAL NORTE,Vida,Reclamaciones Digital,0,0.5986369341976017,1
VIDA DE GRUPO,SUCURSALES,CUCUTA,REGIONAL NORTE,Vida,Reclamaciones Digital,0,0.5974035124469385,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5962296942730858,1
VIDA DE GRUPO,CORREDORES,BRILLA FASE 0,REGIONAL NORTE,Vida,Linea,0,0.5948262141418528,1
BANCASEGUROS,BANCOLOMBIA VOLUNTARIOS,BANCOLOMBIA VOLUNTARIOS,OFICINA CENTRAL,Vida,Linea,0,0.5879964212154362,1
VIDA INDIVIDUAL,PROMOTORAS,PROMOTORA CIUDAD JARDIN,REGIONAL OCCIDENTE,Renta,Digitador Sucursal,0,0.5877983453467631,1
VIDA INDIVIDUAL,SUCURSALES,SUCURSAL SAN FERNANDO 4,REGIONAL ANTIOQUIA,Renta,Linea,1,0.5818127569252453,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.57554421399517,1
VIDA DE GRUPO,BANCOLOMBIA DEUDORES,BANCOLOMBIA DEUDORES SUFI,OFICINA CENTRAL,Invalidez,Reclamaciones Digital,1,0.5746970132920685,1
VIDA INDIVIDUAL,SUCURSALES,SUCURSAL IBAGUE,REGIONAL EJE CAFETERO,Invalidez,Reclamaciones Digital,1,0.573885107079907,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5734203551868441,1
VIDA DE GRUPO,OTRAS ENTIDADES DEUDORES,FALABELLA,OFICINA CENTRAL,Vida,Asesor,0,0.5696091472645141,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5685241565672499,1
BANCASEGUROS,BANCOLOMBIA VOLUNTARIOS,BANCOLOMBIA VOLUNTARIOS,OFICINA CENTRAL,Invalidez,Reclamaciones Digital,1,0.5668386944382614,1
VIDA DE GRUPO,BANCOLOMBIA DEUDORES,BANCOLOMBIA DEUDORES SUFI,OFICINA CENTRAL,Invalidez,Reclamaciones Digital,1,0.5662406778130132,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5656283678067165,1
VIDA DE GRUPO,CORREDORES,BRILLA FASE 0,REGIONAL NORTE,Vida,Linea,1,0.5643852564258222,1
BANCASEGUROS,BANCOLOMBIA VOLUNTARIOS,BANCOLOMBIA VOLUNTARIOS,OFICINA CENTRAL,Vida,Reclamaciones Digital,1,0.5613282796089808,1
ACCIDENTES PERSONALES,GRAN EMPRESA,SUCURSAL GRAN EMPRESA MEDELLIN,REGIONAL ANTIOQUIA,Renta,Reclamaciones Digital,0,0.5606176003925548,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5599848699100411,1
VIDA DE GRUPO,BANCOLOMBIA DEUDORES,BANCOLOMBIA DEUDORES HIPOTECARIO,OFICINA CENTRAL,Vida,Asesor,0,0.5593038348354951,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5584841051934936,1
VIDA DE GRUPO,PROMOTORAS,PROM POPAYAN,REGIONAL OCCIDENTE,Invalidez,Linea,0,0.5569746788030879,1
BANCASEGUROS,OTROS BANCOLOMBIA VOLUNTARIOS,BANCOLOMBIA TMK BANCA SCT,OFICINA CENTRAL,Vida,Reclamaciones Digital,0,0.5556719256110559,1
VIDA DE GRUPO,BANCOLOMBIA DEUDORES,BANCOLOMBIA DEUDORES SUFI,OFICINA CENTRAL,Invalidez,Reclamaciones Digital,1,0.5543989514086435,1
VIDA DE GRUPO,BANCOLOMBIA DEUDORES,BANCOLOMBIA DEUDORES SUFI,OFICINA CENTRAL,Invalidez,Asesor,1,0.5543989514086435,1
VIDA DE GRUPO,CORREDORES,BRILLA FASE 0,REGIONAL NORTE,Vida,Linea,1,0.5541695599208484,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5541065552375395,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5533478752753769,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5527708892036763,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5524838078639633,1
VIDA INDIVIDUAL,SUCURSALES,SUCURSAL SAN FERNANDO 3,REGIONAL ANTIOQUIA,Renta,Asesor,0,0.5514699725650835,1
BANCASEGUROS,BANCOLOMBIA VOLUNTARIOS,BANCOLOMBIA VOLUNTARIOS,OFICINA CENTRAL,Vida,Reclamaciones Digital,0,0.5510233316304121,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA BARRANQUILLA,REGIONAL NORTE,Vida,Reclamaciones Digital,0,0.5505443962149327,1
VIDA INDIVIDUAL,PROMOTORAS,PROMOTORA MILAN,REGIONAL EJE CAFETERO,Ap Complementario,Reclamaciones Digital,1,0.5499996795037265,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5480473338647828,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5479566270965219,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5479566270965219,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5479566270965219,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5479566270965219,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5479566270965219,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5479566270965219,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5479566270965219,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5479566270965219,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5479566270965219,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5479566270965219,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5479566270965219,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5479566270965219,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5479566270965219,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5479566270965219,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5479566270965219,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5479566270965219,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5479566270965219,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5479566270965219,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5479566270965219,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5479566270965219,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5479566270965219,1
VIDA DE GRUPO,PROMOTORAS,PROMOTORA DE SEGUROS SIGMA,REGIONAL CENTRO,Renta,Asesor,1,0.5479566270965219,1
